nsample pid coretype expid event pmc0 pmc1 pmc2 pmc3 pmc4
381 2395 0 0 tick 1693265870 2009456572 2009491830 1693265870 456036085
382 2395 0 1 tick 1694461471 2009733199 - 0 -
383 2395 0 0 tick 1689587061 2009100647 2009191602 1689587061 455259081
384 2395 0 1 tick 1697529825 2009496962 - 0 -
385 2395 0 0 tick 1692005197 2009355402 2009211096 1692005197 455858952
386 2395 0 1 tick 1696050949 2009468571 - 0 -
387 2395 0 0 tick 1691797372 2009413375 2009524494 1691797372 455953027
388 2395 0 1 tick 1686292863 1993152710 - 0 -
389 2395 0 0 tick 1699382601 2007796385 2007785484 1699382601 457125709
390 2395 0 1 tick 1689717639 2009510577 - 0 -
391 2395 0 0 tick 1676216582 1988532595 1993839996 1676216582 451354766
392 2395 0 1 tick 1691180789 1995838160 - 0 -
393 2395 0 0 tick 1692876187 2009817281 2009921736 1692876187 456028347
394 2395 0 1 tick 1699156170 2010137294 - 0 -
395 2395 0 0 tick 1696662638 2009069228 2008826694 1696662638 456855091
396 2395 0 1 tick 1699927876 2010137680 - 0 -
397 2395 0 0 tick 1700905788 2009476407 2009319792 1700905788 457508050
398 2395 0 1 tick 1696858064 2009129966 - 0 -
399 2395 0 0 tick 1681691947 1993820332 1993897116 1681691947 452961668
400 2395 0 1 tick 1689999619 2010251923 - 0 -
401 2395 0 0 tick 1669992190 1991370271 1993307766 1669992190 450353668
402 2395 0 1 tick 1690938707 2009646705 - 0 -
403 2395 0 0 tick 1696201439 2009115181 2009189280 1696201439 456773393
404 2395 0 1 tick 1687734496 2009268446 - 0 -
405 2395 0 0 tick 1685991230 1993899819 1993786914 1685991230 453722796
406 2395 0 1 tick 1703523944 2010139574 - 0 -
407 2395 0 0 tick 1677842555 1993783586 1993726326 1677842555 452350250
408 2395 0 1 tick 1696184878 2009795673 - 0 -
409 2395 0 0 tick 1695275149 2009400068 2009256534 1695275149 456582176
410 2395 0 1 tick 1691603081 2009300104 - 0 -
411 2395 0 0 tick 1538973880 2008107771 2008036752 1538973880 415758378
412 2395 0 1 tick 1145893113 1974525579 - 0 -
413 2395 0 0 exit 2075648789 1550500278 1548635442 2075648789 206110567
