,index,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
133,133,2010596363.0,2010842605.0,2002185108.0,2009023689,2009887725,2010454946.0,2010888052,2010223048,2009074633,2008967950
134,134,1998079329.0,1987257687.0,2007683343.0,2007781220,1986191879,1998234390.0,1989093055,2007485631,1974012216,1998283377
135,135,1979867052.0,2002642145.0,1970803097.0,1975333099,2002442680,2000589502.0,1986637690,1970183620,2002433676,2001844430
136,136,1999358949.0,2001319044.0,2002457415.0,2002503018,2005269497,1986273139.0,1984067912,2002448183,2009481838,2004606153
137,137,2008909118.0,2009784131.0,2009834722.0,2009872690,2009715806,2009616925.0,2009229834,2010024489,2006751087,1991560921
138,138,1982079339.0,1997574865.0,1998106278.0,1982128107,1967097989,1966486505.0,1982390256,1997795676,1971063504,1968247159
139,139,2001803856.0,2002621850.0,2002162567.0,2002693587,1985415977,2002510991.0,2002496889,2002350561,2002047549,2001302926
140,140,2001926223.0,2002680020.0,1984120085.0,2001444538,2006537861,2007556860.0,2002064043,2001491681,2003950376,2007116035
141,141,1998042608.0,1998505262.0,2003003085.0,1984637639,1966671155,1967403864.0,1998039986,2000691920,1971016776,1966834220
142,142,2002575797.0,2002076275.0,2001514185.0,2000453509,1986685140,2002816217.0,1978512206,2001286503,2002143313,2002474024
143,143,2002349288.0,2000202830.0,2002571749.0,2000839599,2000682324,2002338912.0,2002632618,1984178790,2003619551,2001203187
144,144,1983526037.0,1990174209.0,2001081425.0,2001742933,1966599573,1967283148.0,2001877653,2001461665,1969981620,1966660858
145,145,2002356288.0,2002482036.0,1985698415.0,2001970063,1986469010,2002548407.0,2002598071,2002426365,2001802463,2002762620
146,146,2002516234.0,2002440063.0,2002427064.0,2002655610,2000444582,2000949854.0,2002608551,2002362245,2002007536,1991397780
147,147,1998261494.0,1998214714.0,2001303881.0,2001417376,1950684120,1968020958.0,2000306246,1999877872,1995980300,1967336900
148,148,2002640030.0,2002637275.0,2002086869.0,1984200823,2002643773,2002635023.0,1986622920,2002279483,2001582373,1986302564
149,149,2000370530.0,2000150560.0,1999942790.0,2000596451,2000601033,2000464931.0,2000591515,2000132125,1999730049,2000733149
150,150,1949498325.0,1967135177.0,1998589030.0,1992168159,1996002979,1996012083.0,1972572223,1973361004,1986295980,1986285144
151,151,2002374895.0,2001930083.0,2000202923.0,2002409625,2002535132,2002538775.0,2002647351,2002449429,2000778888,2001510821
152,152,1984036870.0,1999013459.0,2000185552.0,2000624967,2001021722,2001271077.0,1980784156,2000264422,1998586935,2000562879
153,153,1965256055.0,1967490484.0,1973292565.0,1973870056,2002390228,2002172820.0,1969661329,1966714612,2002424023,2002045964
154,154,1985664218.0,2001589641.0,1984400134.0,2002559559,2001314557,2002723202.0,1982663781,2002474979,2000028108,2002468833
155,155,1987820907.0,1999915260.0,1999727559.0,1999788997,1998352360,1998800469.0,1999203233,1999474863,1967384227,1997441194
156,156,1970881326.0,1995954720.0,1967893496.0,1970043245,1986551740,1996122852.0,1969906604,1970494235,2002314511,2002512664
157,157,1986242804.0,1986612407.0,1986547100.0,2002629872,1998392425,2000203678.0,2002644634,2002688622,1999764705,1999551655
158,158,2001162330.0,2001093787.0,2000884819.0,2001381685,1966491325,1967879439.0,1993024955,1985154883,1996020272,1950713816
159,159,1994150733.0,2002544405.0,1991307053.0,1996068461,2002492982,2002321075.0,1996244166,1982290633,2002271787,1993321151
160,160,1998406078.0,1978783781.0,2001743337.0,2001713076,2001372115,2001220659.0,2002500657,2000889515,1998882852,1991255399
161,161,1986004427.0,1964390465.0,2000224203.0,1998107289,1968655376,1979933758.0,2000158144,1998144041,2001043389,1970471455
162,162,1985977899.0,2002103309.0,1984028241.0,1986322118,2002456983,2002532438.0,2002577958,1998227853,1999657256,2002607429
163,163,1999967438.0,1999466568.0,1999933443.0,2000466340,2001453130,2000614664.0,1984504217,1997554391,1967188263,1976584397
164,164,1966225241.0,1967714306.0,1985277211.0,1973451945,2002587061,2002565340.0,1964685878,1967590072,2002424214,1985625950
165,165,1986030331.0,1980606344.0,2002235563.0,2002567608,2000390638,1984676502.0,2002302270,2002579253,1999817463,2000099516
166,166,2001516039.0,2000095728.0,1992189582.0,1999882485,1973034244,1957738926.0,1999984242,1983475237,1964657106,1996908414
167,167,1961997874.0,1995531848.0,1966289755.0,1970963826,2002212812,2002371325.0,1948310276,1969781038,2001795430,2002521057
168,168,2002458711.0,2001973167.0,2002426965.0,2002467214,1999627733,1984133133.0,2002536720,1985919357,2000401334,1993225033
169,169,2001352763.0,2000387297.0,2001605062.0,1992840835,1969667311,1969543603.0,2001421847,2001359826,2002053970,1967418894
170,170,2002263524.0,2002024400.0,1969258854.0,1994238287,2002511803,1993973285.0,1975992414,2002501317,1992225492,2002389432
171,171,1991034447.0,2000148281.0,2002191588.0,2002422159,2000417117,1984983624.0,1980854245,2002390589,1998663579,2001531415
172,172,1998361557.0,1973830055.0,1985330932.0,1997775182,2002613388,1982948246.0,2000428386,1998426605,2001191877,1996115128
173,173,1994512375.0,1986211872.0,2001791219.0,2001976886,2000478430,2000787487.0,2002205770,2002409137,1999968007,1992155026
174,174,1998888416.0,2001006333.0,2000220261.0,1999429804,1973300169,1967543707.0,2000408163,2000458968,1969769408,1978693834
175,175,1953716616.0,1973221558.0,1966846068.0,1966861524,2002473951,1984578985.0,1966276020,1968122316,2002099129,2002308465
176,176,2001147356.0,2002193521.0,2002656138.0,2002609068,1994928360,1993454669.0,2000967518,2002461406,1982230938,2002136531
177,177,1980198200.0,1997467668.0,2001102753.0,2001609373,1981770407,1996026520.0,2000444719,2000975697,2002475314,1970791190
178,178,2002077552.0,2002502162.0,1995889143.0,2002657055,1999423163,2000135826.0,1994507754,2002476894,1981747049,2002658854
179,179,1983563480.0,1997982385.0,1994507717.0,2000465661,1998559515,1973313199.0,1999970977,2000454382,1970908895,1998150639
180,180,1966295113.0,1970959534.0,1984133126.0,1967491247,2002643506,2002045787.0,1995999647,1967179512,2000658188,1986307395
181,181,2002355565.0,2000236315.0,1986372617.0,2002108895,2001389444,1985325822.0,2002603676,2001937080,1952757898,1993787784
182,182,1998143211.0,1998287269.0,2000792473.0,2001487714,1995761136,2002404550.0,2001139505,2000943860,2002067739,1980003209
183,183,2001929916.0,1986597653.0,2002088360.0,2002517250,2000415833,2000031990.0,1996073959,1994336718,2001220313,1999997818
184,184,1984733016.0,2001093021.0,1975470886.0,2000023111,1966351296,1967613025.0,2000262578,1983110277,2002415735,1967422466
185,185,1995686814.0,1968517370.0,1966810037.0,1962524269,2002543434,2001760338.0,1966053836,1969954303,1984186804,2002274378
186,186,1999124585.0,1999252118.0,2002367600.0,2002454609,1998209847,1998708399.0,2001876269,1999924441,1968547985,2001253754
187,187,1966600910.0,1967420448.0,2001441084.0,1997535497,2001296866,1999129931.0,2001013951,1998573117,1984243294,2001883096
188,188,2002414792.0,2000256926.0,2002452651.0,2002424223,2001634463,2001629160.0,1984597337,2002440100,1950547359,2000069560
189,189,1997495031.0,1988131093.0,1985356799.0,2001222326,1986512678,2002228884.0,1992920237,2001365374,2002344300,1995551165
190,190,2002570355.0,1985818205.0,1995928731.0,2001209917,2000289437,2000347674.0,1995785206,2001737883,2001162898,2000151465
191,191,1981414150.0,1982334400.0,1984003652.0,2000440264,1969153214,1967745391.0,1998753708,1984445996,1995887682,1972661430
192,192,1969366650.0,1971134455.0,1982122757.0,1967026070,2002578070,2002584003.0,1998684247,1967758187,2000659086,2002557083
193,193,2002202312.0,2002536012.0,2002530472.0,2002405150,2001263990,1993433475.0,2001965525,2002045755,1973302706,2001395094
194,194,2000873773.0,1998137582.0,1999279493.0,2001507322,1995891839,1978591282.0,1974582108,2001483604,2001819880,1960120699
195,195,1986588774.0,1985165347.0,1954865843.0,1995971047,2000276424,1981956134.0,1964001969,2002366835,2000810509,1978419591
196,196,1999905309.0,1999361029.0,2002528226.0,2000388942,1984432962,1967304483.0,2001418803,2000520144,1995636113,1998403397
197,197,1951082001.0,1950263803.0,1998125057.0,1981508009,2002590031,1997165186.0,1999092535,1973978409,2000129404,2001081643
198,198,2002566950.0,1994107243.0,2002581440.0,2002458999,1999500512,2001665002.0,2002683460,2001098041,1998739093,1999386569
199,199,2000915351.0,2001054776.0,1991739985.0,1982485686,1969701087,1996106999.0,1994013069,2001664713,2002187681,1970947972
200,200,2001163813.0,1985186700.0,1967465028.0,1954076304,2002652867,2000696738.0,1966125460,1973662012,1992087115,2002500197
201,201,1983822603.0,1998648884.0,2001798967.0,2002007117,1998035989,1974035287.0,2002547858,2002493161,1954762291,1998164720
202,202,1967014697.0,1967449257.0,2000969021.0,1998208083,2002471358,1986477505.0,2001374704,1982381898,2000305003,1986603210
